BASE_YM(기준연월),HNDE_BANKCD((비식별)취급은행코드),TRAN_TYE_NM(거래구분명),TRAN_AMT(거래금액(원))
﻿202202,HZI,계좌이체,3974478393000
﻿202202,FYT,계좌이체,218637392000
﻿202202,KPQ,현금지급/현금서비스,217105270000
﻿202202,IEK,계좌이체,1414640214000
﻿202202,CVN,계좌이체,612113591000
﻿202202,CAZ,현금지급/현금서비스,181619340000
﻿202202,IEK,현금지급/현금서비스,383624060000
﻿202202,BVI,현금지급/현금서비스,270607270000
﻿202202,VEA,지로납부,192635349000
﻿202202,EEB,계좌이체,547077726000
﻿202202,JVP,현금지급/현금서비스,151064680000
﻿202202,IEK,현금입금,192014410000
﻿202202,CVN,현금지급/현금서비스,214942350000
﻿202202,BVI,계좌이체,833189251000
﻿202202,IUR,현금지급/현금서비스,439459280000
﻿202202,HZI,현금지급/현금서비스,785092350000
﻿202202,SHK,현금지급/현금서비스,347865190000
﻿202202,VEA,계좌이체,914285666000
﻿202202,EEB,현금지급/현금서비스,231705310000
﻿202202,CAZ,계좌이체,478481071000
﻿202202,QDF,계좌이체,352920063000
﻿202202,SHK,계좌이체,761556063000
﻿202202,QDF,현금입금,45617363000
﻿202202,IUR,계좌이체,963752728000
﻿202202,JVP,계좌이체,661968930000
﻿202202,EEB,현금입금,104398945000
﻿202202,CVN,현금입금,88779465000
﻿202202,VEA,현금입금,80511878000
﻿202202,SHK,현금입금,149979523000
﻿202202,FYT,현금입금,50863628000
﻿202202,HZI,현금입금,363832579000
﻿202202,VEA,현금지급/현금서비스,207960380000
﻿202202,IUR,현금입금,215920154000
﻿202202,SCD,현금입금,47499518000
﻿202202,CAZ,현금입금,91020876000
﻿202202,KYG,현금지급/현금서비스,29793400000
﻿202202,FYT,현금지급/현금서비스,90558610000
﻿202202,HZO,현금입금,33525236000
﻿202202,CVN,지로납부,32173635000
﻿202202,FLX,현금지급/현금서비스,7455650000
﻿202202,JVP,현금입금,74295956000
﻿202202,RII,현금입금,35863214000
﻿202202,RII,지로납부,6828721000
﻿202202,BVI,지로납부,42853261000
﻿202202,KYG,계좌이체,70046327000
﻿202202,RII,계좌이체,165177128000
﻿202202,BVI,현금입금,130337877000
﻿202202,KYG,현금입금,12000463000
﻿202202,HZI,지로납부,114796366000
﻿202202,HZO,계좌이체,173027110000
﻿202202,EEB,지로납부,14695056000
﻿202202,IEK,지로납부,44524329000
﻿202202,ZDD,계좌이체,46314351000
﻿202202,ZDD,현금입금,5870469000
﻿202202,IUR,지로납부,9096878000
﻿202202,ZVX,계좌이체,98867046000
﻿202202,RII,현금지급/현금서비스,53639670000
﻿202202,QDF,현금지급/현금서비스,60486070000
﻿202202,HZO,현금지급/현금서비스,78508770000
﻿202202,NXL,현금입금,14385430000
﻿202202,FYT,지로납부,14278594000
﻿202202,QDF,지로납부,111800464000
﻿202202,SHK,지로납부,132920216000
﻿202202,HZI,기타,2926818000
﻿202202,ZVX,현금입금,14133236000
﻿202202,CAZ,지로납부,7954627000
﻿202202,HZO,지로납부,6480445000
﻿202202,JVP,지로납부,71823373000
﻿202202,KYG,지로납부,2664186000
﻿202202,GPM,계좌이체,19655143000
﻿202202,NXL,계좌이체,5259033000
﻿202202,VEA,기타,705145000
﻿202202,ZVX,지로납부,8280200000
﻿202202,FLX,계좌이체,36642323000
﻿202202,SCD,현금지급/현금서비스,852980000
﻿202202,NXL,현금지급/현금서비스,1079810000
﻿202202,GPM,현금지급/현금서비스,5749400000
﻿202202,ZDD,현금지급/현금서비스,9892540000
﻿202202,ZVX,현금지급/현금서비스,18029960000
﻿202202,GPM,현금입금,2466354000
﻿202202,XIE,현금입금,1894067000
﻿202202,FYT,기타,44017000
﻿202202,XIE,현금지급/현금서비스,7008490000
﻿202202,HZO,기타,146165000
﻿202202,HQI,계좌이체,268559000
﻿202202,MIQ,현금입금,480486000
﻿202202,FLX,현금입금,6601637000
﻿202202,XIE,계좌이체,12236854000
﻿202202,BVI,기타,226056000
﻿202202,SCD,계좌이체,5663558000
﻿202202,AHN,계좌이체,1934674000
﻿202202,IGI,현금지급/현금서비스,39490000
