data,label
대전광역시 성동구 개포1길 (채원김안읍),FALSE
인천광역시 노원구 서초대가,FALSE
강원도 의정부시 가락가,FALSE
광주광역시 동대문구 서초대4길,FALSE
광주광역시 광진구 반포대거리 (미경최마을),FALSE
세종특별자치시 마포구 반포대643거리,FALSE
충청남도 평택시 서초대2가,FALSE
제주특별자치도 단양군 오금2길,FALSE
제주특별자치도 보령시 석촌호수길,FALSE
세종특별자치시 남구 서초중앙가,FALSE
광주광역시 금천구 백제고분8거리,FALSE
대전광역시 동구 강남대962길,TRUE
경상남도 안산시 상록구 석촌호수길 (상철이이동),FALSE
전라남도 의정부시 선릉가,FALSE
광주광역시 영등포구 테헤란9거리 (영미이면),FALSE
울산광역시 동구 봉은사012거리 (현숙김동),TRUE
서울특별시 서구 도산대로 (유진김이리),FALSE
제주특별자치도 서천군 강남대길,FALSE
인천광역시 송파구 가락가,FALSE
경상남도 양평군 압구정195가 (영순박동),FALSE
충청북도 철원군 백제고분59가,FALSE
인천광역시 강서구 가락가,FALSE
대전광역시 동작구 개포거리 (영수이면),FALSE
대전광역시 북구 압구정7길 (명자송정마을),FALSE
충청남도 광주시 논현0가,FALSE
제주특별자치도 태안군 테헤란69거리 (지후박김마을),FALSE
강원도 가평군 테헤란길 (지훈오면),FALSE
충청남도 군포시 도산대5길 (경자이동),FALSE
제주특별자치도 계룡시 서초중앙37거리 (예지박동),FALSE
제주특별자치도 평창군 강남대45거리 (성수박이동),FALSE
광주광역시 북구 테헤란375로,TRUE
대구광역시 중랑구 테헤란길,FALSE
세종특별자치시 종로구 서초중앙653길 (예준이면),FALSE
서울특별시 금천구 가락4로,TRUE
충청남도 괴산군 봉은사가,FALSE
인천광역시 중랑구 영동대로 (명숙서읍),FALSE
광주광역시 광진구 잠실814거리,FALSE
서울특별시 서대문구 오금길,TRUE
대전광역시 동작구 도산대가 (순자김면),FALSE
충청북도 보은군 서초중앙가,TRUE
서울특별시 마포구 강남대656길,TRUE
세종특별자치시 동구 선릉로 (예은이동),FALSE
부산광역시 강서구 가락가,TRUE
서울특별시 중구 봉은사가,TRUE
인천광역시 광진구 영동대27길 (상철홍이마을),FALSE
서울특별시 동작구 봉은사25가,TRUE
대구광역시 영등포구 역삼가,FALSE
충청북도 아산시 선릉거리 (종수강손리),FALSE
경기도 서산시 가락가,FALSE
서울특별시 금천구 오금679길,TRUE
세종특별자치시 구로구 오금7거리 (상호류이읍),FALSE
광주광역시 동구 학동가,TRUE
울산광역시 구로구 반포대1거리,FALSE
전라남도 보은군 논현9로,FALSE
세종특별자치시 용산구 학동로,FALSE
전라북도 청주시 흥덕구 선릉거리 (우진김읍),FALSE
부산광역시 강북구 백제고분로 (정남김동),FALSE
제주특별자치도 가평군 백제고분701거리,FALSE
광주광역시 도봉구 반포대로,FALSE
울산광역시 서대문구 잠실가 (현주문이읍),FALSE
경상남도 용인시 처인구 압구정2길,FALSE
대구광역시 서대문구 서초중앙60로,FALSE
대구광역시 남구 양재천86거리 (예진남박동),TRUE
대전광역시 강동구 학동374거리,FALSE
대전광역시 서대문구 역삼596거리 (지원조박면),FALSE
전라남도 천안시 동남구 삼성가,FALSE
제주특별자치도 보은군 언주거리 (유진박김읍),FALSE
충청남도 부천시 오정구 봉은사로,FALSE
경상북도 정선군 반포대가,FALSE
부산광역시 양천구 서초중앙1길,FALSE
울산광역시 마포구 강남대57로,FALSE
세종특별자치시 남구 반포대3가 (성민안읍),FALSE
광주광역시 동작구 잠실로,FALSE
충청남도 부천시 오정구 영동대4가 (춘자이리),FALSE
부산광역시 금천구 오금로 (혜진성김마을),FALSE
울산광역시 양천구 테헤란가 (예은김리),FALSE
대전광역시 종로구 서초중앙거리 (서연심마을),FALSE
서울특별시 강서구 서초중앙619거리,TRUE
충청남도 성남시 오금46로 (예준한최마을),FALSE
대전광역시 도봉구 봉은사길 (예은김동),FALSE
광주광역시 성북구 양재천63로 (시우김문읍),FALSE
전라남도 광주시 가락0가 (상훈손김마을),FALSE
전라남도 양평군 논현거리,FALSE
경상북도 오산시 봉은사706길,FALSE
대전광역시 송파구 오금3가 (준영김읍),FALSE
부산광역시 북구 역삼로 (수빈이강읍),TRUE
세종특별자치시 관악구 압구정89가,FALSE
대전광역시 양천구 학동길 (민재김동),FALSE
전라북도 속초시 반포대651거리,FALSE
부산광역시 동구 테헤란4길,TRUE
광주광역시 성동구 양재천4로,FALSE
전라북도 강릉시 압구정가 (미정강김면),FALSE
전라남도 금산군 언주거리,FALSE
대구광역시 마포구 오금54로 (은영최송면),FALSE
충청남도 화천군 서초중앙길 (서현허김마을),FALSE
부산광역시 은평구 테헤란길,FALSE
세종특별자치시 동대문구 테헤란로,FALSE
제주특별자치도 광주시 반포대17로,FALSE
전라북도 보은군 양재천68거리,FALSE
전라남도 청주시 상당구 영동대73거리 (동현노이리),FALSE
경상남도 의정부시 오금로 (민재이마을),FALSE
울산광역시 남구 개포거리 (하은박동),TRUE
충청북도 고양시 일산서구 양재천256가 (경희박김동),FALSE
인천광역시 서구 반포대로,TRUE
강원도 포천시 서초중앙9거리 (영미허최마을),FALSE
대구광역시 영등포구 학동298거리,FALSE
울산광역시 도봉구 개포거리 (서준김박마을),FALSE
세종특별자치시 구로구 서초중앙가 (영일최안동),FALSE
대전광역시 영등포구 선릉5길 (보람박최리),FALSE
대전광역시 성동구 잠실4가,FALSE
광주광역시 종로구 영동대거리 (재현장동),FALSE
세종특별자치시 강동구 언주로,FALSE
부산광역시 구로구 선릉6거리,FALSE
충청남도 청주시 청원구 영동대가,FALSE
울산광역시 남구 선릉8로,TRUE
세종특별자치시 동구 강남대84가 (진호양면),FALSE
광주광역시 양천구 서초대로,FALSE
대구광역시 종로구 도산대73길,FALSE
경상남도 태백시 언주가,FALSE
경기도 보은군 선릉52로 (현준박최마을),FALSE
대전광역시 종로구 논현6길,FALSE
울산광역시 남구 강남대로 (정순박이읍),TRUE
전라북도 남양주시 오금길,FALSE
대구광역시 성북구 압구정944로,FALSE
충청남도 시흥시 봉은사2가 (경숙안박읍),FALSE
전라북도 가평군 오금거리 (시우김오동),FALSE
인천광역시 중구 봉은사904길 (지혜김최면),TRUE
경상북도 논산시 삼성76길 (숙자장이동),FALSE
서울특별시 광진구 양재천90거리,TRUE
광주광역시 영등포구 석촌호수76로,FALSE
서울특별시 서대문구 언주3가 (시우이엄리),TRUE
인천광역시 도봉구 역삼497로,FALSE
경상북도 김포시 압구정0거리,FALSE
부산광역시 종로구 삼성9거리,FALSE
충청남도 화천군 역삼길,FALSE
인천광역시 노원구 봉은사679가,FALSE
인천광역시 중랑구 오금길,FALSE
전라북도 고양시 일산동구 서초대거리,FALSE
울산광역시 서초구 강남대거리 (은주최김읍),FALSE
충청북도 서천군 도산대로,FALSE
경기도 용인시 언주6거리,FALSE
광주광역시 북구 논현87로 (현숙이홍마을),TRUE
충청남도 화천군 가락길,FALSE
울산광역시 동구 개포로,TRUE
울산광역시 강남구 영동대길 (경희우리),FALSE
울산광역시 남구 삼성가 (진호오김면),TRUE
강원도 평택시 양재천길 (재현김최마을),FALSE
인천광역시 성북구 백제고분9거리 (재현송읍),FALSE
제주특별자치도 수원시 역삼763거리 (지혜장박동),FALSE
대전광역시 중구 학동11가,TRUE
서울특별시 금천구 압구정412길,TRUE
제주특별자치도 부천시 오정구 양재천653거리,FALSE
대전광역시 양천구 역삼87거리 (예진황리),FALSE
서울특별시 금천구 논현가 (영미김면),TRUE
세종특별자치시 구로구 선릉59로 (성수한동),FALSE
충청북도 성남시 분당구 논현65길 (춘자김리),FALSE
경상북도 서천군 잠실거리,FALSE
제주특별자치도 의정부시 학동6로,FALSE
인천광역시 금천구 언주길 (예준백백마을),FALSE
제주특별자치도 계룡시 봉은사8거리 (상호최최리),FALSE
경기도 수원시 권선구 반포대로 (영길윤박동),TRUE
서울특별시 영등포구 선릉37거리,TRUE
경상남도 정선군 오금456가,FALSE
대구광역시 강북구 반포대거리 (정호김동),FALSE
서울특별시 서구 서초대354가 (정자김오마을),FALSE
경상북도 남양주시 양재천687거리 (정훈주면),FALSE
제주특별자치도 평창군 개포로,FALSE
경상북도 용인시 기흥구 오금길,FALSE
강원도 수원시 팔달구 개포175거리 (서윤한이마을),FALSE
광주광역시 종로구 테헤란가 (성훈장김마을),FALSE
충청북도 천안시 동남구 언주4로,FALSE
전라북도 고양시 서초대길,FALSE
충청남도 양구군 역삼로,FALSE
서울특별시 용산구 도산대거리,TRUE
제주특별자치도 논산시 영동대382거리 (현주김백면),FALSE
광주광역시 금천구 잠실거리 (서현이리),FALSE
울산광역시 강북구 테헤란8거리,FALSE
광주광역시 서대문구 반포대길 (건우이리),FALSE
서울특별시 금천구 학동114가,TRUE
경상남도 청주시 서원구 서초대로,FALSE
충청남도 구리시 선릉로 (서영이동),FALSE
경상북도 음성군 백제고분거리,FALSE
전라북도 태안군 테헤란24로,FALSE
대구광역시 강북구 삼성가,FALSE
인천광역시 중랑구 서초중앙65가,FALSE
대전광역시 금천구 석촌호수길 (예진김고읍),FALSE
서울특별시 영등포구 개포길,TRUE
경상남도 평창군 강남대1가,FALSE
제주특별자치도 괴산군 도산대거리 (현주박리),FALSE
충청남도 성남시 강남대가,FALSE
대구광역시 동대문구 서초중앙3가 (지연김김면),FALSE
충청남도 화천군 서초대1로 (하은황마을),FALSE
울산광역시 강남구 역삼로,FALSE
전라북도 의정부시 백제고분거리,FALSE
부산광역시 종로구 삼성7로 (준호정동),FALSE
충청북도 하남시 석촌호수거리 (성민이이읍),FALSE
부산광역시 종로구 잠실로 (은정한마을),FALSE
강원도 수원시 장안구 언주길 (유진신리),FALSE
대전광역시 금천구 학동길,FALSE
부산광역시 금천구 오금30거리,FALSE
경상남도 화성시 삼성가 (정희박류마을),FALSE
경기도 수원시 권선구 반포대길 (지후이면),TRUE
충청남도 논산시 잠실로 (수진이마을),TRUE
인천광역시 은평구 서초대가,FALSE
충청북도 홍천군 도산대로,FALSE
서울특별시 남구 언주로 (채원이면),FALSE
대구광역시 동작구 도산대가 (예준김동),FALSE
울산광역시 서초구 도산대061거리,FALSE
경기도 계룡시 압구정2거리 (은영한윤동),FALSE
인천광역시 서구 영동대782길 (경자조김읍),TRUE
강원도 평택시 양재천858길,FALSE
울산광역시 서초구 서초대465거리,FALSE
인천광역시 남구 강남대286거리,FALSE
울산광역시 용산구 백제고분92가,FALSE
경상북도 청주시 서원구 도산대길 (예원홍안마을),FALSE
인천광역시 은평구 가락57길 (지민심김마을),FALSE
부산광역시 성동구 서초중앙6거리,FALSE
충청북도 안양시 만안구 서초대33거리,FALSE
충청북도 과천시 논현61길,FALSE
충청남도 충주시 석촌호수013가,FALSE
광주광역시 강동구 개포248가 (은지김읍),FALSE
서울특별시 양천구 삼성길 (아름이면),TRUE
경상남도 성남시 백제고분05가 (준서최면),FALSE
제주특별자치도 수원시 권선구 강남대006길 (은지김황읍),FALSE
부산광역시 동구 잠실906로,TRUE
강원도 충주시 개포로,FALSE
충청북도 청주시 흥덕구 가락2가 (정숙임읍),TRUE
세종특별자치시 광진구 논현가,FALSE
울산광역시 구로구 봉은사339거리,FALSE
세종특별자치시 남구 역삼561거리 (정순이면),FALSE
세종특별자치시 성동구 도산대9로 (성호최리),FALSE
세종특별자치시 서대문구 역삼길,FALSE
충청북도 광주시 봉은사316로 (영희이면),FALSE
울산광역시 북구 테헤란로 (경숙장동),TRUE
경상남도 의왕시 압구정길,FALSE
인천광역시 영등포구 학동로 (지우박이동),FALSE
경기도 화천군 서초중앙835거리,FALSE
서울특별시 동구 영동대033거리,FALSE
제주특별자치도 광명시 선릉로,FALSE
충청남도 구리시 잠실68거리,FALSE
인천광역시 광진구 백제고분가,FALSE
경상남도 안양시 개포가 (현정김이마을),FALSE
경상남도 연천군 선릉52길,FALSE
경상북도 청주시 서원구 강남대거리,FALSE
대구광역시 성동구 도산대가 (영식김읍),FALSE
경기도 남양주시 강남대74로 (성수김최읍),TRUE
강원도 용인시 수지구 역삼2거리 (시우김마을),FALSE
세종특별자치시 강서구 서초대822로 (영희김김마을),FALSE
전라북도 안산시 단원구 서초대로,FALSE
전라북도 고성군 테헤란로 (영일김읍),FALSE
제주특별자치도 고양시 덕양구 가락742가 (명숙최읍),FALSE
전라남도 당진시 역삼거리,FALSE
제주특별자치도 수원시 장안구 삼성가,FALSE
부산광역시 도봉구 삼성가 (예준류마을),FALSE
울산광역시 동작구 논현가,FALSE
전라북도 성남시 수정구 역삼737로 (지현강우리),FALSE
대전광역시 서초구 서초대4로,FALSE
부산광역시 구로구 삼성거리,FALSE
세종특별자치시 관악구 학동로 (서윤박마을),FALSE
세종특별자치시 노원구 도산대73가,FALSE
충청북도 괴산군 서초중앙길 (성훈권읍),TRUE
대구광역시 종로구 석촌호수로,FALSE
대구광역시 강동구 강남대59로 (순옥이마을),FALSE
전라북도 부천시 오정구 강남대625가 (영자배동),FALSE
인천광역시 성북구 언주거리 (영미송면),FALSE
전라북도 수원시 팔달구 학동9길 (은서김리),FALSE
부산광역시 강남구 학동17가 (정순장박리),FALSE
충청북도 천안시 동남구 양재천113길,FALSE
대구광역시 서대문구 서초중앙392길 (아름김김면),FALSE
세종특별자치시 강남구 반포대길 (예준이김마을),FALSE
광주광역시 마포구 학동길 (은경남이리),FALSE
충청북도 성남시 중원구 가락로,FALSE
제주특별자치도 청주시 서원구 테헤란길,FALSE
경상남도 안산시 상록구 도산대가,FALSE
경상남도 부천시 영동대길 (준호김조읍),FALSE
대전광역시 중랑구 언주가 (동현김서면),FALSE
충청남도 수원시 권선구 가락1거리,FALSE
충청북도 고양시 일산동구 역삼거리,FALSE
세종특별자치시 중랑구 역삼697길 (민준김면),FALSE
서울특별시 서대문구 영동대로,TRUE
대구광역시 북구 오금61가,TRUE
제주특별자치도 영동군 양재천길,FALSE
서울특별시 동작구 반포대로,TRUE
강원도 평창군 압구정02거리,TRUE
전라북도 음성군 선릉거리 (지은장노마을),FALSE
경기도 연천군 양재천가 (지아박송마을),TRUE
제주특별자치도 화성시 강남대가,FALSE
인천광역시 영등포구 백제고분2로,FALSE
제주특별자치도 동해시 강남대가 (영수송읍),FALSE
울산광역시 광진구 양재천8로,FALSE
경기도 군포시 백제고분길 (주원안이면),TRUE
세종특별자치시 금천구 학동로,FALSE
경기도 성남시 수정구 봉은사254로 (수빈배면),TRUE
제주특별자치도 안산시 상록구 양재천길 (보람이최동),FALSE
서울특별시 서대문구 역삼로 (성호이리),TRUE
경상남도 성남시 도산대가,FALSE
충청북도 천안시 동남구 논현420길 (영희김리),FALSE
광주광역시 동구 봉은사거리 (건우홍김리),TRUE
경기도 음성군 언주가 (정숙우박마을),FALSE
경상남도 아산시 서초중앙로,FALSE
세종특별자치시 강서구 학동가,FALSE
대전광역시 강북구 논현길 (재호홍정읍),FALSE
인천광역시 용산구 석촌호수길,FALSE
서울특별시 마포구 역삼06거리 (숙자김리),TRUE
대구광역시 금천구 논현094가,FALSE
강원도 옥천군 테헤란359가 (승현허리),FALSE
광주광역시 용산구 잠실길,FALSE
울산광역시 은평구 영동대가,FALSE
인천광역시 종로구 선릉길 (윤서이김동),FALSE
강원도 평택시 테헤란994길 (은정서김마을),FALSE
세종특별자치시 도봉구 가락09거리,FALSE
대전광역시 도봉구 석촌호수0거리,FALSE
인천광역시 남구 백제고분길,FALSE
서울특별시 서초구 학동길,TRUE
대전광역시 영등포구 영동대115거리 (정희최김동),FALSE
충청남도 청주시 청원구 테헤란가,FALSE
충청남도 고양시 반포대0로 (시우백강면),FALSE
전라남도 보은군 삼성70거리 (건우김동),FALSE
서울특별시 영등포구 압구정207거리,TRUE
경상북도 안양시 만안구 학동거리,FALSE
대구광역시 서대문구 석촌호수로 (현준송문리),FALSE
충청북도 횡성군 서초중앙가,FALSE
부산광역시 도봉구 양재천거리,FALSE
광주광역시 강북구 삼성6길,FALSE
부산광역시 성동구 석촌호수거리 (현숙황읍),FALSE
경상남도 아산시 오금6거리,FALSE
제주특별자치도 용인시 기흥구 반포대431가 (정남이면),FALSE
울산광역시 도봉구 학동41거리,FALSE
부산광역시 성북구 서초대702거리,FALSE
세종특별자치시 동대문구 양재천길 (영미김이읍),FALSE
부산광역시 송파구 도산대81가 (미경김읍),FALSE
경상북도 가평군 오금가,FALSE
인천광역시 중구 오금09가,TRUE
경상북도 광명시 백제고분길,FALSE
강원도 시흥시 서초중앙45거리,FALSE
인천광역시 강북구 백제고분0가,FALSE
강원도 용인시 처인구 강남대45거리,FALSE
경기도 성남시 분당구 봉은사254가 (은지홍심동),TRUE
경상북도 금산군 도산대로,FALSE
대전광역시 노원구 논현길,FALSE
부산광역시 구로구 압구정길,FALSE
대전광역시 서구 백제고분길 (예진권동),TRUE
울산광역시 서구 학동5가,FALSE
제주특별자치도 여주시 잠실0길 (경자문동),FALSE
서울특별시 마포구 서초대15길 (아름이송면),TRUE
경상북도 김포시 테헤란818가,FALSE
