"ranking","name","count","total","male","female","langs"
"1","지우","46676","46676","13725","32956","@{ko=지우; en=Jiu}"
"2","민준","40893","40893","40866","27","@{ko=민준; en=Minjun}"
"3","서윤","40794","40794","2730","38065","@{ko=서윤; en=Seoyun}"
"4","서준","39810","39810","39760","50","@{ko=서준; en=Seojun}"
"5","서연","38008","38008","138","37870","@{ko=서연; en=Seoyeon}"
"6","민서","34733","34733","5352","29381","@{ko=민서; en=Minseo}"
"7","도윤","34388","34388","32838","1551","@{ko=도윤; en=Doyun}"
"8","시우","34350","34350","30716","3636","@{ko=시우; en=Siu}"
"9","하윤","34291","34291","3941","30353","@{ko=하윤; en=Hayun}"
"10","서현","33118","33118","2207","30912","@{ko=서현; en=Seohyeon}"
"11","연우","32953","32953","18831","14122","@{ko=연우; en=Yeonu}"
"12","주원","32375","32375","28130","4248","@{ko=주원; en=Juwon}"
"13","예준","31583","31583","31218","365","@{ko=예준; en=Yejun}"
"14","지호","31444","31444","27976","3474","@{ko=지호; en=Jiho}"
"15","지민","31072","31072","7491","23585","@{ko=지민; en=Jimin}"
"16","하은","30050","30050","212","29840","@{ko=하은; en=Haeun}"
"17","지안","29778","29778","9647","20134","@{ko=지안; en=Jian}"
"18","지원","29486","29486","11679","17814","@{ko=지원; en=Jiwon}"
"19","서진","29368","29368","18628","10757","@{ko=서진; en=Seojin}"
"20","하준","29362","29362","29333","29","@{ko=하준; en=Hajun}"
"21","지후","29092","29092","25039","4053","@{ko=지후; en=Jihu}"
"22","윤서","28432","28432","3040","25398","@{ko=윤서; en=Yunseo}"
"23","지유","27116","27116","1135","25982","@{ko=지유; en=Jiyu}"
"24","채원","24832","24832","600","24232","@{ko=채원; en=Chaewon}"
"25","준서","24490","24490","24020","470","@{ko=준서; en=Junseo}"
"26","준우","24316","24316","24291","25","@{ko=준우; en=Junu}"
"27","지윤","24176","24176","1839","22337","@{ko=지윤; en=Jiyun}"
"28","도현","24009","24009","23266","744","@{ko=도현; en=Dohyeon}"
"29","수아","23492","23492","201","23293","@{ko=수아; en=Sua}"
"30","현우","22897","22897","22795","102","@{ko=현우; en=Hyeonu}"
"31","선우","22881","22881","20152","2739","@{ko=선우; en=Seonu}"
"32","건우","22751","22751","22745","6","@{ko=건우; en=Geonu}"
"33","은우","22678","22678","17927","4756","@{ko=은우; en=Eunu}"
"34","지아","22568","22568","25","22543","@{ko=지아; en=Jia}"
"35","우진","22461","22461","22091","371","@{ko=우진; en=Ujin}"
